step,mode,seed,x,y,z,speed,fuel,heat,pressure,suit,shield,criticality,pr,pr_norm,mle,law_cost,law_count,falsifiability,semantic_entropy,prediction_error,action_agency,goal_agency,coverage,state_density,ambiguity,compression_gain,godel_tokens,semantic_drift,delta_ep_min,active_laws,failure_state,zone_id,cell_pos
0,lander,42,100.61,67.53,0.0,5.089,99.89,5.02,25.0,0,0,0.2083,0.0176,0.0794,0.25,4.5,4,0.675,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1176,1,0.9941,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
1,lander,42,101.23,67.59,0.0,5.19,99.78,5.04,25.0,0,0,0.2083,0.0221,0.0993,0.25,4.5,4,0.675,2.0,0.5,1.0,1.0,0.0,1.0,0.5,0.2353,2,0.0,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
2,lander,42,101.86,67.68,0.0,5.303,99.68,5.06,25.0,0,0,0.2083,0.0331,0.1489,0.25,4.5,4,0.675,2.0,0.5,1.0,1.0,0.0,1.0,0.5,0.3529,3,0.0,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
3,lander,42,102.5,67.8,0.0,5.426,99.57,5.08,25.0,0,0,0.2083,0.0441,0.1985,0.25,4.5,4,0.675,2.0,0.5,1.0,1.0,0.0,1.0,0.5,0.4706,4,0.0,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
4,lander,42,103.14,67.9,0.0,5.387,99.57,5.06,25.0,0,0,0.2083,0.0421,0.1896,0.25,4.5,4,0.675,2.5,0.5,0.8,0.8,0.0,1.0,0.5,0.5882,5,0.3242,0.0078,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
5,lander,42,103.78,67.97,0.0,5.354,99.57,5.04,25.0,0,0,0.2083,0.0403,0.1815,0.25,4.5,4,0.675,3.0,0.5,0.6667,0.6667,0.0,1.0,0.5,0.7059,6,0.0,0.0078,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
6,lander,42,104.41,68.03,0.0,5.329,99.57,5.02,25.0,0,0,0.2083,0.0387,0.1741,0.25,4.5,4,0.675,3.5,0.5,0.5714,0.5714,0.0,1.0,0.5,0.8235,7,0.3145,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
7,lander,42,105.05,68.05,0.0,5.311,99.57,5.0,25.0,0,0,0.2083,0.0372,0.1672,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,0.9412,8,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
8,lander,42,105.69,68.06,0.0,5.299,99.57,4.98,25.0,0,0,0.2083,0.0357,0.1608,0.25,4.5,4,0.675,4.5,0.5,0.4444,0.4444,0.0,1.0,0.5,1.0588,9,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
9,lander,42,106.33,68.09,0.0,5.39,99.46,5.0,25.0,0,0,0.2083,0.0464,0.209,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,1.1765,10,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
